instancia,datasetA (main),datasetB (main),datasetB (development)
1,15,631.5,631.5
2,2,180.64,180.64
3,12,149.6,149.6
4,3.5,155.67,155.67
5,177.88,368,368
6,691,82.8,82.41
7,392.25,108,108
8,141,227.1,227.1
9,4.42,82.5,82.5
10,15.36,444,444
11,16.85,885.7,885.9
12,11.25,564.82,562.45
13,117.38,749.11,747
14,181.64,876.00,872.33
15,149.33,163.6,166.14
16,85,,
17,36.5,,
18,117.20,,
19,202,,
20,5,,
